session_id,athlete_id,frame_num,sport,hip_angle_l,hip_angle_r,knee_angle_l,knee_angle_r,shoulder_angle_l,shoulder_angle_r,elbow_angle_l,elbow_angle_r,ankle_dorsiflexion_l,ankle_dorsiflexion_r,trunk_lean,spine_deviation,shoulder_hip_sep,head_forward_pos,com_height_norm,estimated_jump_height,limb_symmetry_idx,form_score,phase_label,quality_label,feedback_tag
SES_VER_AVE_0002,athlete_51,9,vertical_jump,145.07,108.44,110.04,124.2,64.52,101.16,147.09,125.55,94.75,80.62,24.28,2.2,26.9,2.0,0.48,43.2,0.69,74,flight,average,Control trunk lean.
SES_SNA_ELI_0004,athlete_62,1,snatch,91.84,86.75,105.82,108.96,33.58,41.69,175.07,178.49,91.52,85.85,24.04,3.49,29.65,0.43,0.4,0,0.925,92.0,setup,elite,Elite biomechanics detected.
SES_SNA_GOO_0005,athlete_31,18,snatch,76.62,92.62,101.86,95.7,51.82,35.27,162.46,175.61,81.9,84.15,33.57,3.23,43.17,-3.14,0.47,0,0.83,83.7,descent,good,"Good depth, push harder through the heels."
SES_JAV_AVE_0014,athlete_53,19,javelin,126.32,117.75,178,156.61,151.13,140.07,135.91,120.45,94.39,75.85,45.58,3.62,38.41,6.8,0.43,0,0.624,65.9,setup,average,Control trunk lean.
SES_SNA_POO_0007,athlete_14,24,snatch,143.23,146.07,140.45,127.94,91.4,73.07,173.45,148.2,68.36,87.84,41.88,3.58,12.16,2.03,0.3,0,0.687,48.8,descent,poor,Adjust knee alignment.
SES_CRI_GOO_0017,athlete_46,73,cricket_bat,143.77,130.83,144.4,142.81,99.83,125.53,152.85,135.33,81.16,76.81,21.15,1.23,18.25,3.07,0.48,0,0.75,82.5,setup,good,Slight asymmetry detected.
SES_SPR_POO_0011,athlete_21,8,sprint,108.28,70.63,132.25,116.58,115.39,133.02,115.63,130.31,91.52,95.9,27.63,0.59,32.21,4.97,0.34,0,0.58,34.0,descent,poor,Adjust knee alignment.
SES_VER_GOO_0001,athlete_35,72,vertical_jump,89.88,108.08,106.86,93.92,92.2,84.34,139.47,132.37,82.4,83.6,14.14,2.26,24.79,6.67,0.53,54.2,0.793,80.6,setup,good,Extend hips fully.
SES_CRI_AVE_0018,athlete_26,97,cricket_bat,147.4,153.83,148.61,166.52,106.08,94.24,151.07,165.39,95.72,94.95,45.88,1.23,22.48,5.72,0.58,0,0.675,66.7,setup,average,Control trunk lean.
SES_CRI_AVE_0018,athlete_50,55,cricket_bat,171.52,129.47,162.57,155.58,92.7,117.92,147.24,156.04,96.58,93.79,33.14,0.48,20.05,4.49,0.43,0,0.634,69.2,setup,average,Lower your hips.
SES_SNA_GOO_0005,athlete_08,58,snatch,103.16,107.98,122.93,110.69,48.02,53.96,166.8,176.49,83.95,84.86,37.63,1.03,31.27,2.5,0.48,0,0.857,82.1,descent,good,Slight asymmetry detected.
SES_SPR_AVE_0010,athlete_45,80,sprint,80.11,59.5,131.08,104.92,100.91,109.03,154.18,114.64,90.64,102.55,21.96,1.18,32.13,3.77,0.51,0,0.663,66.9,setup,average,Control trunk lean.
SES_SPR_AVE_0010,athlete_12,68,sprint,62.56,90.05,111.96,114.44,112.85,91.99,129.78,119.28,90.24,85.85,21.13,1.36,26.27,2.21,0.53,0,0.702,72.0,descent,average,Activate core more.
SES_CRI_ELI_0016,athlete_33,58,cricket_bat,109.85,133.29,144.79,143.91,87.36,95.36,133.62,137.02,89.9,80.71,15.11,2.55,27.51,2.59,0.62,0,0.765,99.0,descent,elite,Great form! Maintain position.
